stop_num,name,directions_to_next_stop,learn_more_URL,travel_tip,description,location,image_current,image_historic,gps_long,gps_lat,badge,tour_id,admin_id
1,Trust Building/Durham Visitor Info Center,"As you exit the DVB on to Main St, turn to your right",http://www.opendurham.org/buildings/trust-building,"Step inside the visitor center for travel tips, then head next door to Runaway for hip Durham t-shirts and apparel.","The historic Trust Building, a Beaux Arts-style structure, was the tallest office building in the state at the time of its construction in 1905. It featured Durham's first elevator and housed a mix of businesses including Fidelity Bank run by Benjamin Duke. It is still a multi-tenant office building including the Durham Convention & Visitors Bureau where visitors can get directions, maps, and travel tips.",BEGIN AT 212 W MAIN ST #101 ,https://c2.staticflickr.com/4/3384/5763475228_9228b8dce3_b.jpg,https://www.etsy.com/listing/270990202/linen-postcard-durham-north-carolina-us,-78.9018154,35.9959669,,1,1
2,Old Hill Building,,,, 1925 Georgian revival Old Hill Building commissioned by John Sprunt Hill.,307 W Main St,,,,,,1,1
3,Temple Building,,,, 1909 Spanish colonial-style Temple Building built with leftover materials from the 1909 Watts Hospital.,302 W Main St,,,,,,1,1
4,Former Kronheimer's Department Store,,http://www.opendurham.org/buildings/315-west-main-st-kronheimers,,"Benjamin Franklin Kronheimer constructed the building between 1898 and 1902 as Kronheimer's department store, which he operated throughout the early part of the 20th century. It continued to house retail establishments through the mid 20th century including Raylass and Revco.",315 W Main St,screen shot from Google Maps?,http://www.opendurham.org/sites/default/files/images/2007_1/Kronheimer_1905.jpeg,,,,1,1
5,Snow Building,,,," One of Durham’s finest art deco structures, built in 1933. Its elevator was the last in the state run by a full-time operator.",Main St,,,,,,1,1
6,Five Points/Muirhead Plaza,,http://centerfest.durhamarts.org/,"Muirhead Plaza, located in the east-side wedge between Main & Chapel Hill streets, is named for William Muirhead, founder of Muirhead Construction Co. Five Points is currently home to CenterFest, the annual Art Lover's Festival.", Includes site of 1906 invention of BC Headache Powder.,"108 Morris St, Downtown Durham
Durham, NC 27701 (Intersection of W Main, E Chapel Hill, and Morris Sts)",,,-78.9035641,35.9972665,,1,1
7,Civil Rights mural,,http://www.muraldurham.com/,,"The Durham Civil Rights mural brings to life some lesser-known stories of the local civil rights movement in vivid colors. Artist Brenda Miller Holmes and Dr. Benjamin Speller, former Dean of Library Sciences at North Carolina Central University, developed the concept for the mural, with input from 30 community members. The mural was completed in 2015. More detailed information can be found at http://www.muraldurham.com/.",At the parking lot next to 120 Morris St.,,https://47ebuk2x3s952razcdlwtqb1-wpengine.netdna-ssl.com/wp-content/uploads/2016/01/2015_0912civilRIghtsMural172.jpg from https://durhammag.com/2016/01/22/6-photos-that-capture-durham-perfectly/,,,,1,1
8,Durham Arts Council,Look left along Great Jones St.,,," Former 1906 Central High School and later City Hall. Now 52,000-sq.- ft. arts center with performance space, three galleries, and meeting rooms. ",120 Morris St,,,,,,1,1
9,Museum of Durham History Hub,Turn right along Morgan St,https://www.museumofdurhamhistory.org/,,"The Durham History Hub serves as a physical outpost of the Museum of Durham History website. The Museum uses stories about people, places and things to foster curiosity, encourage further inquiry, and promote an understanding of diverse perspectives about the Durham community and its history. The exhibits are rotated on a frequent basis, so there is always something new to see!",500 W Main St,http://durhamchamber.org/wp-content/uploads/2014/06/HistoryHub03-WM.jpg from http://durhamchamber.org/quality-of-life/community-profile/durham-history,,-78.9049933,35.9982851,History Buff Badge,1,1
10,Durham Centre Building & Plaza,,,," Fifteen-story commercial building housing the Greater Durham Chamber of Commerce and Duke Clinical Research Institute, a powerhouse behind research trials as well as a major area employer. ",300 W Morgan St,,,,,,1,1
